index,appid,name,numPlayer,totalTime,price,avgTime(h)PerP,avgCostPerHourPerPerson
12188,513770,Click Space Miner,3,33,0.99,0.183333333,5.4
12925,608893,Mob Psycho 100: Idiots Only Event ~Kin~,2,22,0.99,0.183333333,5.4
11498,548480,NightZ,4,43,0.99,0.179166667,5.525581395
8190,296150,G-Ball,13,138,0.99,0.176923077,5.595652174
4541,225200,Farming Simulator 2013 - Modding Tutorials,64,641,0.99,0.166927083,5.930733229
6382,321030,One Day For Ched,27,270,0.99,0.166666667,5.94
11470,606447,Berserk: Reunion in the Den of Evil,4,40,0.99,0.166666667,5.94
11357,606446,Berserk: The Black Witch,4,39,0.99,0.1625,6.092307692
12378,497680,Plates,3,27,0.99,0.15,6.6
15307,643440,Magical Girl Raising Project: Welcome to a World of Dreams and Magic!,1,9,0.99,0.15,6.6
13091,535330,Block King,2,17,0.99,0.141666667,6.988235294
11719,410050,The Forgotten Forest,3,25,0.99,0.138888889,7.128
11988,608250,"KanColle: Hello, Commander!",3,25,0.99,0.138888889,7.128
13957,582210,VRemin (A Virtual Theremin),1,8,0.99,0.133333333,7.425
6345,263100,9.03m,27,209,0.99,0.129012346,7.673684211
12737,533850,EggK47,2,15,0.99,0.125,7.92
15464,514350,Fancy Slingshot VR,1,7,0.99,0.116666667,8.485714286
15644,313960,Exodus,1,7,0.99,0.116666667,8.485714286
15737,699760,Triple Otakus Puzzle,1,7,0.99,0.116666667,8.485714286
11665,448050,Mr. Nibbles Forever,3,20,0.99,0.111111111,8.91
10115,646450,Adventure Rage,6,38,0.99,0.105555556,9.378947368
7514,346450,samurai_jazz,17,98,0.99,0.096078431,10.30408163
11449,606443,Berserk: Epiphany,4,23,0.99,0.095833333,10.33043478
11595,663200,Rift Coaster HD Remastered VR,4,23,0.99,0.095833333,10.33043478
11536,606444,Berserk: Tower of Conviction,4,22,0.99,0.091666667,10.8
9244,385690,Wave Mechanics,9,46,0.99,0.085185185,11.62173913
11358,606445,Berserk: A Nighttime Feast: Burning at the Stake,4,20,0.99,0.083333333,11.88
14261,681910,Plandzz,1,5,0.99,0.083333333,11.88
15731,509450,Colony,1,5,0.99,0.083333333,11.88
3981,502400,Redactem,84,404,0.99,0.08015873,12.35049505
10913,680690,Kama Bullet Heritage,5,24,0.99,0.08,12.375
7133,403860,ALPAGES : THE FIVE BOOKS,20,91,0.99,0.075833333,13.05494505
11731,674030,LA soul,3,13,0.99,0.072222222,13.70769231
8701,389270,Abandoned,11,46,0.99,0.06969697,14.20434783
10280,688550,HardBall,6,24,0.99,0.066666667,14.85
11434,657630,Fidget Spinner,4,16,0.99,0.066666667,14.85
11538,546090,Trip to Vinelands,4,14,0.99,0.058333333,16.97142857
13716,667160,Sphere Frustration,1,3,0.99,0.05,19.8
6985,433750,The Grandfather,21,60,0.99,0.047619048,20.79
6805,640380,UBERMOSH Vol.5,23,65,0.99,0.047101449,21.01846154
12067,372430,World Defense :  Fragmented Reality,3,8,0.99,0.044444444,22.275
7377,385630,Cosmic Rocket Defender,18,42,0.99,0.038888889,25.45714286
11310,606440,Berserk: The Dragonslayer,4,8,0.99,0.033333333,29.7
11430,619730,Mad Driver,4,8,0.99,0.033333333,29.7
14059,654610,Mr. Dubstep,1,2,0.99,0.033333333,29.7
14771,606540,JOKER GAME: Joker Game (Part 1),1,2,0.99,0.033333333,29.7
3567,488210,JDM Tuner Racing,100,195,0.99,0.0325,30.46153846
11996,463830,Izeriya,3,5,0.99,0.027777778,35.64
2598,283350,Eurofighter Typhoon,165,273,0.99,0.027575758,35.9010989
11334,643600,Quadrant M4,4,6,0.99,0.025,39.6
11360,606441,Berserk: The Holy Iron Chain Knights,4,6,0.99,0.025,39.6
12773,587490,Dark Throne,2,3,0.99,0.025,39.6
12240,367060,Helena The 3rd,3,4,0.99,0.022222222,44.55
12362,284580,ZAMB! Biomutant Extermination,3,4,0.99,0.022222222,44.55
9709,655460,Hooligan Vasja: Halloween,7,8,0.99,0.019047619,51.975
6374,292280,SPY Fox in: Cheese Chase,27,27,0.99,0.016666667,59.4
8503,394770,Owys,12,12,0.99,0.016666667,59.4
12646,572960,"ReLIFE: Kaizaki Arata (27), Unemployed",2,2,0.99,0.016666667,59.4
12979,358000,The Curse of Nordic Cove,2,2,0.99,0.016666667,59.4
14643,606409,91 Days: Black and Deep Desires,1,1,0.99,0.016666667,59.4
15425,595990,Princess Kidnapper 2 - VR,1,1,0.99,0.016666667,59.4
15685,703530,Grav Blazer Squared,1,1,0.99,0.016666667,59.4
10210,670770,Stickman Wars,6,5,0.99,0.013888889,71.28
7803,294710,Putt-Putt and Pep's Dog on a Stick,15,11,0.99,0.012222222,81
8913,382250,Lightrise,10,7,0.99,0.011666667,84.85714286
6708,513550,Vive le Roi,24,15,0.99,0.010416667,95.04
8336,661000,Flow:The Sliding,12,7,0.99,0.009722222,101.8285714
4676,381140,Cruel Arena,60,33,0.99,0.009166667,108
9443,402390,Hyperdrive Massacre,8,4,0.99,0.008333333,118.8
9455,446780,AMOK,8,4,0.99,0.008333333,118.8
9538,396730,gShift,8,4,0.99,0.008333333,118.8
10118,695350,Time Ninja Sakura,6,3,0.99,0.008333333,118.8
13084,413610,Pray For Diamonds,2,1,0.99,0.008333333,118.8
13314,434960,Rolling Gauntlet,2,1,0.99,0.008333333,118.8
4057,502880,The Janitor,81,39,0.99,0.008024691,123.3692308
7550,521430,Super Switch,17,8,0.99,0.007843137,126.225
7910,364880,Genesis of Drones,15,7,0.99,0.007777778,127.2857143
5319,656140,PLANETS OF WAR,43,20,0.99,0.007751938,127.71
9416,576480,Drunken Fight Simulator,8,3,0.99,0.00625,158.4
11944,641390,"Miss Kobayashi's Dragon Maid: The Strongest Maid in History, Tohru! (Well, She is a Dragon)",3,1,0.99,0.005555556,178.2
