index,appid,name,numPlayer,totalTime,price,avgTime(h)PerP,avgCostPerHourPerPerson
8550,531270,The Art of Fight,11,451,24.99,0.683333333,36.57073171
12841,517020,Virtual Warfighter,2,74,24.99,0.616666667,40.52432432
11224,574140,Project LUX,4,102,24.99,0.425,58.8
9132,364750,Hacker Evolution Source Code,9,175,24.99,0.324074074,77.112
1785,400110,Else Heart.Break(),264,3451,24.99,0.217866162,114.7034483
12672,640990,Fashioning Little Miss Lonesome,2,17,24.99,0.141666667,176.4
11135,411390,Getsuei Gakuen -kou-,4,30,24.99,0.125,199.92
12828,644670,Deus Vult,2,14,24.99,0.116666667,214.2
15064,384920,ABD: A Beautiful Day,1,7,24.99,0.116666667,214.2
9697,492150,MyWorld - Action RPG Maker,7,38,24.99,0.09047619,276.2052632
5696,521330,Tuebor,36,164,24.99,0.075925926,329.1365854
14136,281900,Indie Graphics Bundle,1,1,24.99,0.016666667,1499.4
12172,364240,liquivid Video Improve,3,2,24.99,0.011111111,2249.1
10246,626200,Dead Alliance™,6,0,24.99,0,inf
12731,606950,Army General,2,0,24.99,0,inf
12804,381152,Counter-Strike Nexon: Zombies - Dragon Set + Permanent Character,2,0,24.99,0,inf
14806,451080,Giant Cop: Justice Above All,1,0,24.99,0,inf
15312,338090,ATLAS ????????,1,0,24.99,0,inf
15886,626250,Consortium: The Tower,1,0,24.99,0,inf
